"No.","Time","Source","Destination","Protocol","Length","Info","Tcp Flags","Source MAC Address","Destination MAC","Source IP ARP","Destination IP ARP","Time to live","Flags","Delta time","Frame length"
"344","2025-04-18 19:45:45.078159","104.18.41.183","192.168.1.13","TCP","54","443  >  50502 [ACK] Seq=4450 Ack=3556 Win=81920 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.024784000","54"
"345","2025-04-18 19:45:45.078159","104.18.41.183","192.168.1.13","TCP","54","443  >  50502 [ACK] Seq=4450 Ack=3590 Win=81920 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","54"
"346","2025-04-18 19:45:45.108129","104.18.41.183","192.168.1.13","TCP","1494","443  >  50436 [ACK] Seq=7342 Ack=7946 Win=11 Len=1440 [TCP segment of a reassembled PDU]","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.029970000","1494"
"347","2025-04-18 19:45:45.108129","104.18.41.183","192.168.1.13","TLSv1.2","216","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","216"
"348","2025-04-18 19:45:45.108129","104.18.41.183","192.168.1.13","TLSv1.2","81","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","81"
"349","2025-04-18 19:45:45.108217","192.168.1.13","104.18.41.183","TCP","54","50436  >  443 [ACK] Seq=7946 Ack=8971 Win=514 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000088000","54"
"350","2025-04-18 19:45:45.108489","192.168.1.13","104.18.41.183","TCP","1454","50436  >  443 [ACK] Seq=7946 Ack=8971 Win=514 Len=1400 [TCP segment of a reassembled PDU]","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000272000","1454"
"351","2025-04-18 19:45:45.108489","192.168.1.13","104.18.41.183","TLSv1.2","361","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000000000","361"
"352","2025-04-18 19:45:45.109484","162.159.136.234","192.168.1.13","TLSv1.2","152","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.000995000","152"
"353","2025-04-18 19:45:45.114023","162.159.136.234","192.168.1.13","TLSv1.2","170","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.004539000","170"
"354","2025-04-18 19:45:45.114088","192.168.1.13","162.159.136.234","TCP","54","65451  >  443 [ACK] Seq=55 Ack=4513 Win=510 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000065000","54"
"355","2025-04-18 19:45:45.133592","104.18.41.183","192.168.1.13","TCP","54","443  >  50436 [ACK] Seq=8971 Ack=9346 Win=11 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.019504000","54"
"356","2025-04-18 19:45:45.134193","104.18.41.183","192.168.1.13","TCP","54","443  >  50436 [ACK] Seq=8971 Ack=9653 Win=11 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.000601000","54"
"357","2025-04-18 19:45:45.152908","162.159.137.232","192.168.1.13","UDP","895","443  >  62405 Len=853","","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.018715000","895"
"358","2025-04-18 19:45:45.160744","104.18.41.183","192.168.1.13","TLSv1.3","1445","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.007836000","1445"
"359","2025-04-18 19:45:45.160744","104.18.41.183","192.168.1.13","TLSv1.3","1445","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","1445"
"360","2025-04-18 19:45:45.160744","104.18.41.183","192.168.1.13","TLSv1.3","1494","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","1494"
"361","2025-04-18 19:45:45.160744","104.18.41.183","192.168.1.13","TLSv1.3","1396","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","1396"
"362","2025-04-18 19:45:45.160744","104.18.41.183","192.168.1.13","TLSv1.3","1494","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","1494"
"363","2025-04-18 19:45:45.160744","104.18.41.183","192.168.1.13","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","1494"
"364","2025-04-18 19:45:45.160744","104.18.41.183","192.168.1.13","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","1494"
